State,District,District_ID
Andaman & Nicobar Islands,Nicobars,1
Andaman & Nicobar Islands,North and Middle Andaman,2
Andaman & Nicobar Islands,South Andaman,3
Andhra Pradesh,Anantapur,4
Andhra Pradesh,Chittoor,5
Andhra Pradesh,East Godavari,6
Andhra Pradesh,Guntur,7
Andhra Pradesh,Krishna,8
Andhra Pradesh,Kurnool,9
Andhra Pradesh,Prakasam,10
Andhra Pradesh,Spsr Nellore,11
Andhra Pradesh,Srikakulam,12
Andhra Pradesh,Visakhapatnam,13
Andhra Pradesh,Vizianagaram,14
Andhra Pradesh,West Godavari,15
Andhra Pradesh,Ysr,16
Arunachal Pradesh,Anjaw,17
Arunachal Pradesh,Changlang,18
Arunachal Pradesh,Dibang Valley,19
Arunachal Pradesh,East Kameng,20
Arunachal Pradesh,East Siang,21
Arunachal Pradesh,Kamle,22
Arunachal Pradesh,Kra Daadi,23
Arunachal Pradesh,Kurung Kumey,24
Arunachal Pradesh,Lepa Rada,25
Arunachal Pradesh,Lohit,26
Arunachal Pradesh,Longding,27
Arunachal Pradesh,Lower Dibang Valley,28
Arunachal Pradesh,Lower Siang,29
Arunachal Pradesh,Lower Subansiri,30
Arunachal Pradesh,Namsai,31
Arunachal Pradesh,Pakke Kessang,32
Arunachal Pradesh,Papum Pare,33
Arunachal Pradesh,Shi Yomi,34
Arunachal Pradesh,Siang,35
Arunachal Pradesh,Tawang,36
Arunachal Pradesh,Tirap,37
Arunachal Pradesh,Upper Siang,38
Arunachal Pradesh,Upper Subansiri,39
Arunachal Pradesh,West Kameng,40
Arunachal Pradesh,West Siang,41
Assam,Baksa,42
Assam,Barpeta,43
Assam,Biswanath,44
Assam,Bongaigaon,45
Assam,Cachar,46
Assam,Charaideo,47
Assam,Chirang,48
Assam,Darrang,49
Assam,Dhemaji,50
Assam,Dhubri,51
Assam,Dibrugarh,52
Assam,Dima Hasao,53
Assam,Goalpara,54
Assam,Golaghat,55
Assam,Hailakandi,56
Assam,Hojai,57
Assam,Jorhat,58
Assam,Kamrup,59
Assam,Kamrup Metropolitan,60
Assam,Karbi Anglong,61
Assam,Karimganj,62
Assam,Kokrajhar,63
Assam,Lakhimpur,64
Assam,Majuli,65
Assam,Marigaon,66
Assam,Nagaon,67
Assam,Nalbari,68
Assam,Sivasagar,69
Assam,Sonitpur,70
Assam,South Salmara Mancachar,71
Assam,Tinsukia,72
Assam,Udalguri,73
Assam,West Karbi Anglong,74
Bihar,Araria,75
Bihar,Arwal,76
Bihar,Aurangabad,77
Bihar,Banka,78
Bihar,Begusarai,79
Bihar,Bhagalpur,80
Bihar,Bhojpur,81
Bihar,Buxar,82
Bihar,Darbhanga,83
Bihar,Gaya,84
Bihar,Gopalganj,85
Bihar,Jamui,86
Bihar,Jehanabad,87
Bihar,Kaimur Bhabua,88
Bihar,Katihar,89
Bihar,Khagaria,90
Bihar,Kishanganj,91
Bihar,Lakhisarai,92
Bihar,Madhepura,93
Bihar,Madhubani,94
Bihar,Munger,95
Bihar,Muzaffarpur,96
Bihar,Nalanda,97
Bihar,Nawada,98
Bihar,Pashchim Champaran,99
Bihar,Patna,100
Bihar,Purbi Champaran,101
Bihar,Purnia,102
Bihar,Rohtas,103
Bihar,Saharsa,104
Bihar,Samastipur,105
Bihar,Saran,106
Bihar,Sheikhpura,107
Bihar,Sheohar,108
Bihar,Sitamarhi,109
Bihar,Siwan,110
Bihar,Supaul,111
Bihar,Vaishali,112
Chandigarh,Chandigarh,113
Chhattisgarh,Balod,114
Chhattisgarh,Baloda Bazar,115
Chhattisgarh,Balrampur,116
Chhattisgarh,Bastar,117
Chhattisgarh,Bemetara,118
Chhattisgarh,Bijapur,119
Chhattisgarh,Bilaspur,120
Chhattisgarh,Dantewada,121
Chhattisgarh,Dhamtari,122
Chhattisgarh,Durg,123
Chhattisgarh,Gariyaband,124
Chhattisgarh,Janjgir Champa,125
Chhattisgarh,Jashpur,126
Chhattisgarh,Kabirdham,127
Chhattisgarh,Kanker,128
Chhattisgarh,Kondagaon,129
Chhattisgarh,Korba,130
Chhattisgarh,Korea,131
Chhattisgarh,Mahasamund,132
Chhattisgarh,Mungeli,133
Chhattisgarh,Narayanpur,134
Chhattisgarh,Raigarh,135
Chhattisgarh,Raipur,136
Chhattisgarh,Rajnandgaon,137
Chhattisgarh,Sukma,138
Chhattisgarh,Surajpur,139
Chhattisgarh,Surguja,140
Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,141
Dadra and Nagar Haveli and Daman and Diu,Daman,142
Dadra and Nagar Haveli and Daman and Diu,Diu,143
Delhi,Central,144
Delhi,Central Delhi,145
Delhi,East,146
Delhi,New Delhi,147
Delhi,North,148
Delhi,North East,149
Delhi,North West,150
Delhi,Shahdara,151
Delhi,South,152
Delhi,South East Delhi,153
Delhi,South West,154
Delhi,West,155
Goa,North Goa,156
Goa,South Goa,157
Gujarat,Ahmadabad,158
Gujarat,Amreli,159
Gujarat,Anand,160
Gujarat,Aravallis,161
Gujarat,Banas Kantha,162
Gujarat,Bharuch,163
Gujarat,Bhavnagar,164
Gujarat,Botad,165
Gujarat,Chhotaudepur,166
Gujarat,Devbhumi Dwarka,167
Gujarat,Dohad,168
Gujarat,Gandhinagar,169
Gujarat,Gir Somnath,170
Gujarat,Jamnagar,171
Gujarat,Junagadh,172
Gujarat,Kachchh,173
Gujarat,Kheda,174
Gujarat,Mahesana,175
Gujarat,Mahisagar,176
Gujarat,Morbi,177
Gujarat,Narmada,178
Gujarat,Navsari,179
Gujarat,Panch Mahals,180
Gujarat,Patan,181
Gujarat,Porbandar,182
Gujarat,Rajkot,183
Gujarat,Sabar Kantha,184
Gujarat,Surat,185
Gujarat,Surendranagar,186
Gujarat,Tapi,187
Gujarat,The Dangs,188
Gujarat,Vadodara,189
Gujarat,Valsad,190
Haryana,Ambala,191
Haryana,Bhiwani,192
Haryana,Charkhi Dadri,193
Haryana,Faridabad,194
Haryana,Fatehabad,195
Haryana,Gurugram,196
Haryana,Hisar,197
Haryana,Jhajjar,198
Haryana,Jind,199
Haryana,Kaithal,200
Haryana,Karnal,201
Haryana,Kurukshetra,202
Haryana,Mahendragarh,203
Haryana,Mewat,204
Haryana,Palwal,205
Haryana,Panchkula,206
Haryana,Panipat,207
Haryana,Rewari,208
Haryana,Rohtak,209
Haryana,Sirsa,210
Haryana,Sonipat,211
Haryana,Yamunanagar,212
Himachal Pradesh,Bilaspur,213
Himachal Pradesh,Chamba,214
Himachal Pradesh,Hamirpur,215
Himachal Pradesh,Kangra,216
Himachal Pradesh,Kinnaur,217
Himachal Pradesh,Kullu,218
Himachal Pradesh,Lahul And Spiti,219
Himachal Pradesh,Mandi,220
Himachal Pradesh,Shimla,221
Himachal Pradesh,Sirmaur,222
Himachal Pradesh,Solan,223
Himachal Pradesh,Una,224
Jammu & Kashmir,Anantnag,225
Jammu & Kashmir,Bandipore,226
Jammu & Kashmir,Baramulla,227
Jammu & Kashmir,Budgam,228
Jammu & Kashmir,Doda,229
Jammu & Kashmir,Ganderbal,230
Jammu & Kashmir,Jammu,231
Jammu & Kashmir,Kathua,232
Jammu & Kashmir,Kishtwar,233
Jammu & Kashmir,Kulgam,234
Jammu & Kashmir,Kupwara,235
Jammu & Kashmir,Mirpur,236
Jammu & Kashmir,Muzaffarabad,237
Jammu & Kashmir,Poonch,238
Jammu & Kashmir,Pulwama,239
Jammu & Kashmir,Rajouri,240
Jammu & Kashmir,Ramban,241
Jammu & Kashmir,Reasi,242
Jammu & Kashmir,Samba,243
Jammu & Kashmir,Shopian,244
Jammu & Kashmir,Srinagar,245
Jammu & Kashmir,Udhampur,246
Jharkhand,Bokaro,247
Jharkhand,Chatra,248
Jharkhand,Deoghar,249
Jharkhand,Dhanbad,250
Jharkhand,Dumka,251
Jharkhand,East Singhbhum,252
Jharkhand,Garhwa,253
Jharkhand,Giridih,254
Jharkhand,Godda,255
Jharkhand,Gumla,256
Jharkhand,Hazaribagh,257
Jharkhand,Jamtara,258
Jharkhand,Khunti,259
Jharkhand,Koderma,260
Jharkhand,Latehar,261
Jharkhand,Lohardaga,262
Jharkhand,Pakur,263
Jharkhand,Palamu,264
Jharkhand,Ramgarh,265
Jharkhand,Ranchi,266
Jharkhand,Sahebganj,267
Jharkhand,Saraikela Kharsawan,268
Jharkhand,Simdega,269
Jharkhand,West Singhbhum,270
Karnataka,Bagalkote,271
Karnataka,Ballari,272
Karnataka,Belagavi,273
Karnataka,Bengaluru Rural,274
Karnataka,Bengaluru Urban,275
Karnataka,Bidar,276
Karnataka,Chamarajanagara,277
Karnataka,Chikkaballapura,278
Karnataka,Chikkamagaluru,279
Karnataka,Chitradurga,280
Karnataka,Dakshina Kannada,281
Karnataka,Davanagere,282
Karnataka,Dharwad,283
Karnataka,Gadag,284
Karnataka,Hassan,285
Karnataka,Haveri,286
Karnataka,Kalaburagi,287
Karnataka,Kodagu,288
Karnataka,Kolar,289
Karnataka,Koppal,290
Karnataka,Mandya,291
Karnataka,Mysuru,292
Karnataka,Raichur,293
Karnataka,Ramanagara,294
Karnataka,Shivamogga,295
Karnataka,Tumakuru,296
Karnataka,Udupi,297
Karnataka,Uttara Kannada,298
Karnataka,Vijayapura,299
Karnataka,Yadgir,300
Kerala,Alappuzha,301
Kerala,Ernakulam,302
Kerala,Idukki,303
Kerala,Kannur,304
Kerala,Kasaragod,305
Kerala,Kollam,306
Kerala,Kottayam,307
Kerala,Kozhikode,308
Kerala,Malappuram,309
Kerala,Palakkad,310
Kerala,Pathanamthitta,311
Kerala,Thiruvananthapuram,312
Kerala,Thrissur,313
Kerala,Wayanad,314
Ladakh,Kargil,315
Ladakh,Leh Ladakh,316
Lakshadweep,Lakshadweep,317
Madhya Pradesh,Agar Malwa,318
Madhya Pradesh,Alirajpur,319
Madhya Pradesh,Anuppur,320
Madhya Pradesh,Ashoknagar,321
Madhya Pradesh,Balaghat,322
Madhya Pradesh,Barwani,323
Madhya Pradesh,Betul,324
Madhya Pradesh,Bhind,325
Madhya Pradesh,Bhopal,326
Madhya Pradesh,Burhanpur,327
Madhya Pradesh,Chhatarpur,328
Madhya Pradesh,Chhindwara,329
Madhya Pradesh,Damoh,330
Madhya Pradesh,Datia,331
Madhya Pradesh,Dewas,332
Madhya Pradesh,Dhar,333
