State,Year,Quarter,Brand,User_Count,Brand_Percentage,YearQuarter
Andaman & Nicobar Islands,2018,1,Xiaomi,1665,0.247032640949554,2018-Q1
Andaman & Nicobar Islands,2018,1,Samsung,1445,0.214391691394658,2018-Q1
Andaman & Nicobar Islands,2018,1,Vivo,982,0.145697329376854,2018-Q1
Andaman & Nicobar Islands,2018,1,Oppo,501,0.074332344213649,2018-Q1
Andaman & Nicobar Islands,2018,1,Oneplus,332,0.049258160237388,2018-Q1
Andaman & Nicobar Islands,2018,1,Realme,316,0.046884272997032,2018-Q1
Andaman & Nicobar Islands,2018,1,Apple,229,0.033976261127596,2018-Q1
Andaman & Nicobar Islands,2018,1,Motorola,226,0.033531157270029,2018-Q1
Andaman & Nicobar Islands,2018,1,Lenovo,202,0.029970326409495,2018-Q1
Andaman & Nicobar Islands,2018,1,Huawei,158,0.023442136498516,2018-Q1
Andaman & Nicobar Islands,2018,1,Others,684,0.101483679525222,2018-Q1
Andaman & Nicobar Islands,2018,2,Xiaomi,2303,0.244869750132908,2018-Q2
Andaman & Nicobar Islands,2018,2,Samsung,1923,0.204465709728867,2018-Q2
Andaman & Nicobar Islands,2018,2,Vivo,1523,0.161935140882509,2018-Q2
Andaman & Nicobar Islands,2018,2,Oppo,708,0.075279106858054,2018-Q2
Andaman & Nicobar Islands,2018,2,Oneplus,466,0.049548112706007,2018-Q2
Andaman & Nicobar Islands,2018,2,Realme,465,0.049441786283891,2018-Q2
Andaman & Nicobar Islands,2018,2,Motorola,319,0.03391812865497,2018-Q2
Andaman & Nicobar Islands,2018,2,Apple,308,0.032748538011695,2018-Q2
Andaman & Nicobar Islands,2018,2,Lenovo,244,0.025943646996278,2018-Q2
Andaman & Nicobar Islands,2018,2,Huawei,230,0.024455077086656,2018-Q2
Andaman & Nicobar Islands,2018,2,Others,916,0.09739500265816,2018-Q2
Andaman & Nicobar Islands,2018,3,Xiaomi,2950,0.242818338957938,2018-Q3
Andaman & Nicobar Islands,2018,3,Samsung,2409,0.198287924932093,2018-Q3
