State,Year,Quarter,District,Transaction_Count,Transaction_Amount,YearQuarter
Andaman & Nicobar Islands,2018,1,North and Middle Andaman,442,931663.0770939871,2018-Q1
Andaman & Nicobar Islands,2018,1,South Andaman,5688,12560249.34366581,2018-Q1
Andaman & Nicobar Islands,2018,1,Nicobars,528,1139848.801225994,2018-Q1
Andaman & Nicobar Islands,2018,2,North and Middle Andaman,825,1317863.0834906558,2018-Q2
Andaman & Nicobar Islands,2018,2,South Andaman,9395,23948235.51634325,2018-Q2
Andaman & Nicobar Islands,2018,2,Nicobars,1120,3072436.9081196385,2018-Q2
Andaman & Nicobar Islands,2018,3,North and Middle Andaman,1283,4901529.518499676,2018-Q3
Andaman & Nicobar Islands,2018,3,South Andaman,13511,44268112.464252464,2018-Q3
Andaman & Nicobar Islands,2018,3,Nicobars,1471,6387829.151558982,2018-Q3
Andaman & Nicobar Islands,2018,4,North and Middle Andaman,2137,7955635.917688001,2018-Q4
Andaman & Nicobar Islands,2018,4,South Andaman,20136,75411840.8018554,2018-Q4
Andaman & Nicobar Islands,2018,4,Nicobars,1485,7180859.354911782,2018-Q4
Andaman & Nicobar Islands,2019,1,North and Middle Andaman,3264,9561708.736298349,2019-Q1
Andaman & Nicobar Islands,2019,1,South Andaman,25683,85501972.38780196,2019-Q1
Andaman & Nicobar Islands,2019,1,Nicobars,1539,7236059.549389593,2019-Q1
Andaman & Nicobar Islands,2019,2,North and Middle Andaman,3371,8612103.137888122,2019-Q2
Andaman & Nicobar Islands,2019,2,South Andaman,28490,102530955.71341252,2019-Q2
Andaman & Nicobar Islands,2019,2,Nicobars,1828,9111650.82436246,2019-Q2
Andaman & Nicobar Islands,2019,3,North and Middle Andaman,4049,11481466.28335679,2019-Q3
Andaman & Nicobar Islands,2019,3,South Andaman,27421,91023888.32848611,2019-Q3
Andaman & Nicobar Islands,2019,3,Nicobars,2300,11566421.47545101,2019-Q3
Andaman & Nicobar Islands,2019,4,North and Middle Andaman,4716,13524056.78457394,2019-Q4
Andaman & Nicobar Islands,2019,4,South Andaman,27843,110930312.2061162,2019-Q4
Andaman & Nicobar Islands,2019,4,Nicobars,2600,12384161.52668771,2019-Q4
Andaman & Nicobar Islands,2020,1,North and Middle Andaman,5674,14697371.6178571,2020-Q1
Andaman & Nicobar Islands,2020,1,South Andaman,32713,134679396.90582752,2020-Q1
Andaman & Nicobar Islands,2020,1,Nicobars,2911,12099543.77359005,2020-Q1
Andaman & Nicobar Islands,2020,2,North and Middle Andaman,10979,22447714.061058957,2020-Q2
Andaman & Nicobar Islands,2020,2,South Andaman,48088,132855778.74838582,2020-Q2
Andaman & Nicobar Islands,2020,2,Nicobars,3895,14341508.60470232,2020-Q2
Andaman & Nicobar Islands,2020,3,North and Middle Andaman,16747,33486883.37042555,2020-Q3
Andaman & Nicobar Islands,2020,3,South Andaman,95323,282366109.2052393,2020-Q3
Andaman & Nicobar Islands,2020,3,Nicobars,5413,22166453.75469538,2020-Q3
Andaman & Nicobar Islands,2020,4,North and Middle Andaman,29349,68941322.38839513,2020-Q4
Andaman & Nicobar Islands,2020,4,South Andaman,186494,523122462.883029,2020-Q4
Andaman & Nicobar Islands,2020,4,Nicobars,8688,35218871.04342849,2020-Q4
Andaman & Nicobar Islands,2021,1,North and Middle Andaman,27358,75027255.27919498,2021-Q1
Andaman & Nicobar Islands,2021,1,South Andaman,207092,669604045.1248703,2021-Q1
Andaman & Nicobar Islands,2021,1,Nicobars,10302,39075266.9856904,2021-Q1
Andaman & Nicobar Islands,2021,2,North and Middle Andaman,39200,90233388.79463302,2021-Q2
Andaman & Nicobar Islands,2021,2,South Andaman,286907,760893020.5704944,2021-Q2
Andaman & Nicobar Islands,2021,2,Nicobars,15307,48020606.74716837,2021-Q2
Andaman & Nicobar Islands,2021,3,North and Middle Andaman,46592,118254865.8275068,2021-Q3
Andaman & Nicobar Islands,2021,3,South Andaman,382418,1116789010.645961,2021-Q3
Andaman & Nicobar Islands,2021,3,Nicobars,20754,74980519.3281361,2021-Q3
Andaman & Nicobar Islands,2021,4,North and Middle Andaman,53115,156486112.2873243,2021-Q4
Andaman & Nicobar Islands,2021,4,South Andaman,558571,1694794708.0093331,2021-Q4
Andaman & Nicobar Islands,2021,4,Nicobars,24437,81329281.02699961,2021-Q4
Andaman & Nicobar Islands,2022,1,North and Middle Andaman,60059,161624878.52274162,2022-Q1
Andaman & Nicobar Islands,2022,1,South Andaman,705512,1872991195.902684,2022-Q1
Andaman & Nicobar Islands,2022,1,Nicobars,29177,94414127.64974087,2022-Q1
Andaman & Nicobar Islands,2022,2,North and Middle Andaman,72573,195693167.78757265,2022-Q2
Andaman & Nicobar Islands,2022,2,South Andaman,954875,2357326563.362071,2022-Q2
Andaman & Nicobar Islands,2022,2,Nicobars,43769,132900618.93062322,2022-Q2
Andaman & Nicobar Islands,2022,3,North and Middle Andaman,79574,211581970.34202647,2022-Q3
Andaman & Nicobar Islands,2022,3,South Andaman,1455255,2967719400.849909,2022-Q3
Andaman & Nicobar Islands,2022,3,Nicobars,49550,131330400.9454508,2022-Q3
Andaman & Nicobar Islands,2022,4,North and Middle Andaman,93297,241431284.3558103,2022-Q4
Andaman & Nicobar Islands,2022,4,South Andaman,1835592,3600887266.099448,2022-Q4
Andaman & Nicobar Islands,2022,4,Nicobars,58646,142355853.9735252,2022-Q4
Andhra Pradesh,2018,1,East Godavari,943935,1235785515.599726,2018-Q1
Andhra Pradesh,2018,1,Srikakulam,458921,587778028.9183557,2018-Q1
Andhra Pradesh,2018,1,Spsr Nellore,531612,676643237.8069417,2018-Q1
Andhra Pradesh,2018,1,Vizianagaram,420990,505783445.78162,2018-Q1
Andhra Pradesh,2018,1,Visakhapatnam,1256469,1749966196.5049942,2018-Q1
Andhra Pradesh,2018,1,Prakasam,534757,748990775.8676485,2018-Q1
Andhra Pradesh,2018,1,Anantapur,638664,788830646.0324218,2018-Q1
Andhra Pradesh,2018,1,Ysr,487333,681481931.0936775,2018-Q1
Andhra Pradesh,2018,1,West Godavari,577090,853547668.7532667,2018-Q1
Andhra Pradesh,2018,1,Kurnool,679623,764905298.7350456,2018-Q1
Andhra Pradesh,2018,1,Chittoor,830324,1009621878.0870508,2018-Q1
Andhra Pradesh,2018,1,Guntur,815932,1108686589.026682,2018-Q1
Andhra Pradesh,2018,1,Krishna,863935,1284255179.61562,2018-Q1
Andhra Pradesh,2018,2,East Godavari,1221677,2168914928.423901,2018-Q2
Andhra Pradesh,2018,2,Srikakulam,559868,929392017.3670052,2018-Q2
Andhra Pradesh,2018,2,Spsr Nellore,780454,1542057934.010896,2018-Q2
Andhra Pradesh,2018,2,Vizianagaram,529588,811711367.5080049,2018-Q2
Andhra Pradesh,2018,2,Visakhapatnam,1641192,2987853607.2939086,2018-Q2
Andhra Pradesh,2018,2,Prakasam,739991,1571167562.1276271,2018-Q2
Andhra Pradesh,2018,2,Anantapur,937023,1690366079.055792,2018-Q2
Andhra Pradesh,2018,2,Ysr,690842,1415500367.686184,2018-Q2
Andhra Pradesh,2018,2,West Godavari,786033,1688025212.304594,2018-Q2
Andhra Pradesh,2018,2,Kurnool,968439,1531888665.684323,2018-Q2
Andhra Pradesh,2018,2,Chittoor,1185723,1990419125.893711,2018-Q2
Andhra Pradesh,2018,2,Guntur,1088101,2108475811.785996,2018-Q2
Andhra Pradesh,2018,2,Krishna,1224987,2448141593.4919834,2018-Q2
Andhra Pradesh,2018,3,East Godavari,3226907,3551247095.3074474,2018-Q3
Andhra Pradesh,2018,3,Srikakulam,1073883,1318322236.598471,2018-Q3
Andhra Pradesh,2018,3,Spsr Nellore,1308890,2215938596.185108,2018-Q3
Andhra Pradesh,2018,3,Vizianagaram,970132,1163546006.895916,2018-Q3
Andhra Pradesh,2018,3,Visakhapatnam,3394576,4821892253.393524,2018-Q3
Andhra Pradesh,2018,3,Prakasam,1319651,2346453445.483843,2018-Q3
Andhra Pradesh,2018,3,Anantapur,1815215,2681787750.4641647,2018-Q3
Andhra Pradesh,2018,3,Ysr,1557444,2235904512.2542043,2018-Q3
Andhra Pradesh,2018,3,West Godavari,1431282,2309078492.805814,2018-Q3
Andhra Pradesh,2018,3,Kurnool,2921189,2908389261.539773,2018-Q3
Andhra Pradesh,2018,3,Chittoor,2297429,3283517630.720593,2018-Q3
Andhra Pradesh,2018,3,Guntur,1912529,3127764663.180438,2018-Q3
Andhra Pradesh,2018,3,Krishna,2396934,3754202654.384461,2018-Q3
Andhra Pradesh,2018,4,East Godavari,3052762,4652624623.436675,2018-Q4
