State,Year,Quarter,District,Registered_Users,YearQuarter
Andaman & Nicobar Islands,2018,1,South Andaman,5846,2018-Q1
Andaman & Nicobar Islands,2018,1,North and Middle Andaman,632,2018-Q1
Andaman & Nicobar Islands,2018,1,Nicobars,262,2018-Q1
Andaman & Nicobar Islands,2018,2,South Andaman,8143,2018-Q2
Andaman & Nicobar Islands,2018,2,North and Middle Andaman,911,2018-Q2
Andaman & Nicobar Islands,2018,2,Nicobars,351,2018-Q2
Andaman & Nicobar Islands,2018,3,South Andaman,10474,2018-Q3
Andaman & Nicobar Islands,2018,3,North and Middle Andaman,1208,2018-Q3
Andaman & Nicobar Islands,2018,3,Nicobars,467,2018-Q3
Andaman & Nicobar Islands,2018,4,South Andaman,13133,2018-Q4
Andaman & Nicobar Islands,2018,4,North and Middle Andaman,1553,2018-Q4
Andaman & Nicobar Islands,2018,4,Nicobars,536,2018-Q4
Andaman & Nicobar Islands,2019,1,South Andaman,15961,2019-Q1
Andaman & Nicobar Islands,2019,1,North and Middle Andaman,2013,2019-Q1
Andaman & Nicobar Islands,2019,1,Nicobars,622,2019-Q1
Andaman & Nicobar Islands,2019,2,South Andaman,18621,2019-Q2
Andaman & Nicobar Islands,2019,2,North and Middle Andaman,2417,2019-Q2
Andaman & Nicobar Islands,2019,2,Nicobars,693,2019-Q2
Andaman & Nicobar Islands,2019,3,South Andaman,20518,2019-Q3
Andaman & Nicobar Islands,2019,3,North and Middle Andaman,2662,2019-Q3
Andaman & Nicobar Islands,2019,3,Nicobars,751,2019-Q3
Andaman & Nicobar Islands,2019,4,South Andaman,22202,2019-Q4
Andaman & Nicobar Islands,2019,4,North and Middle Andaman,2955,2019-Q4
Andaman & Nicobar Islands,2019,4,Nicobars,803,2019-Q4
Andaman & Nicobar Islands,2020,1,South Andaman,24174,2020-Q1
Andaman & Nicobar Islands,2020,1,North and Middle Andaman,3315,2020-Q1
Andaman & Nicobar Islands,2020,1,Nicobars,879,2020-Q1
Andaman & Nicobar Islands,2020,2,South Andaman,27626,2020-Q2
Andaman & Nicobar Islands,2020,2,North and Middle Andaman,4100,2020-Q2
Andaman & Nicobar Islands,2020,2,Nicobars,984,2020-Q2
Andaman & Nicobar Islands,2020,3,South Andaman,34833,2020-Q3
Andaman & Nicobar Islands,2020,3,North and Middle Andaman,5355,2020-Q3
Andaman & Nicobar Islands,2020,3,Nicobars,1147,2020-Q3
Andaman & Nicobar Islands,2020,4,South Andaman,43908,2020-Q4
Andaman & Nicobar Islands,2020,4,North and Middle Andaman,7076,2020-Q4
Andaman & Nicobar Islands,2020,4,Nicobars,1412,2020-Q4
Andaman & Nicobar Islands,2021,1,South Andaman,48352,2021-Q1
Andaman & Nicobar Islands,2021,1,North and Middle Andaman,7833,2021-Q1
Andaman & Nicobar Islands,2021,1,Nicobars,1573,2021-Q1
Andaman & Nicobar Islands,2021,2,South Andaman,51903,2021-Q2
Andaman & Nicobar Islands,2021,2,North and Middle Andaman,8493,2021-Q2
Andaman & Nicobar Islands,2021,2,Nicobars,1699,2021-Q2
Andaman & Nicobar Islands,2021,3,South Andaman,55873,2021-Q3
Andaman & Nicobar Islands,2021,3,North and Middle Andaman,9263,2021-Q3
Andaman & Nicobar Islands,2021,3,Nicobars,1846,2021-Q3
Andaman & Nicobar Islands,2021,4,South Andaman,59807,2021-Q4
Andaman & Nicobar Islands,2021,4,North and Middle Andaman,10002,2021-Q4
Andaman & Nicobar Islands,2021,4,Nicobars,1971,2021-Q4
Andaman & Nicobar Islands,2022,1,South Andaman,63487,2022-Q1
Andaman & Nicobar Islands,2022,1,North and Middle Andaman,10720,2022-Q1
Andaman & Nicobar Islands,2022,1,Nicobars,2081,2022-Q1
Andaman & Nicobar Islands,2022,2,South Andaman,66959,2022-Q2
